iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo,empleo_ponderado
ARG,1964,Servicios,OPQ,"Administración pública, defensa, educación y salud",1038.708265627451,0.13007365,135.1085753953321
ARG,1964,Servicios,RSTU,Otros servicios,598.9910991315519,0.075009473,44.93000667754846
ARG,1965,Bienes,A,Agro y pesca,1600.680468882174,0.19791973,316.8062462174332
ARG,1965,Bienes,B,Petróleo y minería,26.69663037757777,0.0033009646,0.08812463181566886
ARG,1965,Bienes,C,Industria,2043.585657287357,0.25268373,516.380846457871
ARG,1965,Bienes,DE,"Electricidad, gas y agua",213.8805637042601,0.026445741,5.656229992656863
ARG,1965,Bienes,F,Construcción,394.8174571336423,0.048818089,19.274233761103833
ARG,1965,Servicios,GI,"Comercio, hoteles y restaurantes",1135.410622642374,0.14039038,159.4007287687995
ARG,1965,Servicios,H,Transporte,658.7815860383689,0.081456527,53.66206005023722
ARG,1965,Servicios,JMN,Servicios empresariales,307.0002492051264,0.037959732,11.653647183759812
ARG,1965,Servicios,K,Finanzas,43.52884790108524,0.0053822217,0.23428190974922045
ARG,1965,Servicios,L,Servicios inmobiliarios,33.42028850081344,0.0041323262,0.1381035337834701
ARG,1965,Servicios,OPQ,"Administración pública, defensa, educación y salud",1031.08081184974,0.1274903,131.4528020269669
ARG,1965,Servicios,RSTU,Otros servicios,598.6407755061114,0.074020281,44.31155842102028
ARG,1966,Bienes,A,Agro y pesca,1543.577042014641,0.18824938,290.5774211414901
ARG,1966,Bienes,B,Petróleo y minería,27.11382593235792,0.0033067095,0.08965754579187428
ARG,1966,Bienes,C,Industria,2002.031245598623,0.24416088,488.8177107128559
ARG,1966,Bienes,DE,"Electricidad, gas y agua",223.5866891480495,0.027267868,6.096732326246046
ARG,1966,Bienes,F,Construcción,430.8984237778709,0.052550897,22.644098685413244
ARG,1966,Servicios,GI,"Comercio, hoteles y restaurantes",1175.0305717679,0.14330271,168.38506526718956
ARG,1966,Servicios,H,Transporte,659.5664745839457,0.080438472,53.054519397959425
ARG,1966,Servicios,JMN,Servicios empresariales,325.5596667907587,0.039704144,12.9260678908523
ARG,1966,Servicios,K,Finanzas,46.16034434875726,0.0056295577,0.2598623219631979
ARG,1966,Servicios,L,Servicios inmobiliarios,34.38665860981117,0.0041936794,0.14420662184679775
ARG,1966,Servicios,OPQ,"Administración pública, defensa, educación y salud",1093.519052933026,0.13336185,145.83372390939627
ARG,1966,Servicios,RSTU,Otros servicios,638.2100905294299,0.077833921,49.674393767670495
ARG,1967,Bienes,A,Agro y pesca,1573.94036905326,0.18970652,298.5867501006096
ARG,1967,Bienes,B,Petróleo y minería,28.38327645504701,0.0034210272,0.0970999607778354
ARG,1967,Bienes,C,Industria,1931.789488422733,0.23283796,449.7939236337928
ARG,1967,Bienes,DE,"Electricidad, gas y agua",226.866165911145,0.027344106,6.203452488487936
ARG,1967,Bienes,F,Construcción,478.8974484319457,0.057721354,27.64260915063708
ARG,1967,Servicios,GI,"Comercio, hoteles y restaurantes",1213.223665590556,0.14622946,177.4090414785276
ARG,1967,Servicios,H,Transporte,646.7090148750387,0.077947631,50.40943565585303
ARG,1967,Servicios,JMN,Servicios empresariales,336.5668271024292,0.040566292,13.653268185750656
ARG,1967,Servicios,K,Finanzas,47.72102388654302,0.0057517993,0.27448175178590145
ARG,1967,Servicios,L,Servicios inmobiliarios,35.35302902367142,0.004261089,0.150642403089447
ARG,1967,Servicios,OPQ,"Administración pública, defensa, educación y salud",1129.225390654174,0.13610516,153.69340247104884
ARG,1967,Servicios,RSTU,Otros servicios,648.0358750942892,0.078107551,50.61649516375682
ARG,1968,Bienes,A,Agro y pesca,1455.747225109045,0.17327341,252.24228579268186
ARG,1968,Bienes,B,Petróleo y minería,29.35965212964708,0.0034945949,0.10260009059803883
ARG,1968,Bienes,C,Industria,1957.09952097316,0.23294793,455.9022822146892
ARG,1968,Bienes,DE,"Electricidad, gas y agua",228.4610560170378,0.027193062,6.212555660856782
ARG,1968,Bienes,F,Construcción,549.3272571693038,0.065384842,35.9176759163083
ARG,1968,Servicios,GI,"Comercio, hoteles y restaurantes",1276.620282879229,0.15195245,193.9855797031919
ARG,1968,Servicios,H,Transporte,654.7753278020937,0.077936023,51.030585007416505
ARG,1968,Servicios,JMN,Servicios empresariales,347.6397043208349,0.041378554,14.384828277783699
ARG,1968,Servicios,K,Finanzas,49.29102127095988,0.0058669685,0.2891888691295516
ARG,1968,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0043900912,0.16192023622877305
ARG,1968,Servicios,OPQ,"Administración pública, defensa, educación y salud",1168.377691714903,0.13906863,162.48468490935392
ARG,1968,Servicios,RSTU,Otros servicios,647.8643440478832,0.077113427,49.95903980063932
ARG,1969,Bienes,A,Agro y pesca,1436.490773505694,0.16934012,243.25551996434706
ARG,1969,Bienes,B,Petróleo y minería,26.15403244592835,0.0030831574,0.0806369986755041
ARG,1969,Bienes,C,Industria,1999.894227005104,0.23575671,471.4884833067165
ARG,1969,Bienes,DE,"Electricidad, gas y agua",206.1894640220396,0.02430656,5.011756578619547
ARG,1969,Bienes,F,Construcción,621.7180279904501,0.073290974,45.56631982477935
ARG,1969,Servicios,GI,"Comercio, hoteles y restaurantes",1351.328871110288,0.15930085,215.2678377974093
ARG,1969,Servicios,H,Transporte,675.7543773792013,0.079661027,53.83128770177274
ARG,1969,Servicios,JMN,Servicios empresariales,333.2465467946781,0.039284632,13.09146795609971
ARG,1969,Servicios,K,Finanzas,47.25024910092224,0.0055700764,0.2631874974111682
ARG,1969,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0043479507,0.16036596334378184
ARG,1969,Servicios,OPQ,"Administración pública, defensa, educación y salud",1122.585851813561,0.13233557,148.55803857368315
ARG,1969,Servicios,RSTU,Otros servicios,625.3770773315165,0.073722318,46.104247764944645
ARG,1970,Bienes,A,Agro y pesca,1428.907449698795,0.16658975,238.04133481845986
ARG,1970,Bienes,B,Petróleo y minería,23.55880832397057,0.002746613,0.06470692920712579
ARG,1970,Bienes,C,Industria,1964.498119771009,0.2290318,449.9325404677698
ARG,1970,Bienes,DE,"Electricidad, gas y agua",188.1688063499527,0.021937735,4.127997408971579
ARG,1970,Bienes,F,Construcción,691.7484404994094,0.080647767,55.78796705200973
ARG,1970,Servicios,GI,"Comercio, hoteles y restaurantes",1381.107375536725,0.16101696,222.3817110425018
ARG,1970,Servicios,H,Transporte,698.148007222356,0.081393868,56.82496674431949
ARG,1970,Servicios,JMN,Servicios empresariales,323.019567434596,0.037659366,12.164712115181132
ARG,1970,Servicios,K,Finanzas,45.80018959704508,0.0053396332,0.24455621293867655
ARG,1970,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0043000327,0.15859859826498568
ARG,1970,Servicios,OPQ,"Administración pública, defensa, educación y salud",1151.234668244125,0.13421716,154.51544766526865
ARG,1970,Servicios,RSTU,Otros servicios,644.3291826789354,0.075119376,48.401606141431635
ARG,1971,Bienes,A,Agro y pesca,1403.597015202903,0.16213846,227.57705850559532
ARG,1971,Bienes,B,Petróleo y minería,23.78879538568318,0.0027479958,0.06537150980691675
ARG,1971,Bienes,C,Industria,1961.142816756957,0.22654414,444.28541283938245
ARG,1971,Bienes,DE,"Electricidad, gas y agua",188.2650304574669,0.021747697,4.094330838084762
ARG,1971,Bienes,F,Construcción,712.6476895175363,0.082322486,58.666929443239724
ARG,1971,Servicios,GI,"Comercio, hoteles y restaurantes",1408.629579391365,0.1627198,229.21192343264704
ARG,1971,Servicios,H,Transporte,678.0841370612853,0.078329831,53.114215859791315
ARG,1971,Servicios,JMN,Servicios empresariales,318.1653935874567,0.036753319,11.69363420528035
ARG,1971,Servicios,K,Finanzas,45.11192763105439,0.005211167,0.23508578857733883
ARG,1971,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0042606043,0.15714435607472718
ARG,1971,Servicios,OPQ,"Administración pública, defensa, educación y salud",1205.669322898628,0.13927457,167.91907650889755
ARG,1971,Servicios,RSTU,Otros servicios,674.79546163181,0.077949934,52.60026169769912
ARG,1972,Bienes,A,Agro y pesca,1381.437485342271,0.15800214,218.27007896029747
ARG,1972,Bienes,B,Petróleo y minería,23.99638136474985,0.0027445899,0.06586022593024066
ARG,1972,Bienes,C,Industria,1963.318506553992,0.22455487,440.8727320078258
ARG,1972,Bienes,DE,"Electricidad, gas y agua",188.1680371788727,0.021521749,4.049705265986367
ARG,1972,Bienes,F,Construcción,725.0016853662855,0.082922183,60.11872242925155
ARG,1972,Servicios,GI,"Comercio, hoteles y restaurantes",1424.63277937801,0.1629426,232.1333691170793
ARG,1972,Servicios,H,Transporte,657.9211163973488,0.075249836,49.508456109837404
ARG,1972,Servicios,JMN,Servicios empresariales,334.1652851611737,0.038220208,12.771866705239372
ARG,1972,Servicios,K,Finanzas,47.38051486689352,0.0054191537,0.25676229244883103
ARG,1972,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0042185122,0.1555918683324759
ARG,1972,Servicios,OPQ,"Administración pública, defensa, educación y salud",1256.825749858197,0.14374964,180.66824908484588
ARG,1972,Servicios,RSTU,Otros servicios,703.4269645571928,0.080454573,56.59391607013509
ARG,1973,Bienes,A,Agro y pesca,1359.335463034736,0.15392414,209.23454211912352
ARG,1973,Bienes,B,Petróleo y minería,24.22139912027528,0.0027427063,0.06643218396199346
ARG,1973,Bienes,C,Industria,1956.261736212858,0.22151698,433.34519189542897
ARG,1973,Bienes,DE,"Electricidad, gas y agua",188.192456902543,0.021309944,4.010370717815605
ARG,1973,Bienes,F,Construcción,739.5094063109015,0.08373823,61.92520875282572
ARG,1973,Servicios,GI,"Comercio, hoteles y restaurantes",1441.470800843364,0.16322471,235.28365344112584
ARG,1973,Servicios,H,Transporte,638.7696204447917,0.072330974,46.2028288083821
ARG,1973,Servicios,JMN,Servicios empresariales,344.9920605799433,0.039065123,13.477157280578936
ARG,1973,Servicios,K,Finanzas,48.91561805225915,0.0055389521,0.2709412653333587
ARG,1973,Servicios,L,Servicios inmobiliarios,38.52236378967745,0.0043620737,0.16803738994878434
ARG,1973,Servicios,OPQ,"Administración pública, defensa, educación y salud",1315.017073160617,0.14890575,195.81360354178653
ARG,1973,Servicios,RSTU,Otros servicios,735.9957959316345,0.083340369,61.33816121539111
ARG,1974,Bienes,A,Agro y pesca,1339.980316743577,0.1462696,195.99838493795633
ARG,1974,Bienes,B,Petróleo y minería,25.26049597581241,0.0027573858,0.06965293290466229
ARG,1974,Bienes,C,Industria,2018.374092354914,0.22032173,444.6916718148144
ARG,1974,Bienes,DE,"Electricidad, gas y agua",194.4678323086438,0.021227725,4.128109665594006
ARG,1974,Bienes,F,Construcción,793.889193174343,0.086659379,68.79794447529959
ARG,1974,Servicios,GI,"Comercio, hoteles y restaurantes",1505.556500448519,0.16434358,247.4285451759812
ARG,1974,Servicios,H,Transporte,640.7725004635511,0.069945462,44.81912858181829
