iso3,anio,gran_sector,sector_codigo,sector_desc,empleo_miles,share_empleo
ARG,1966,Servicios,OPQ,"Administración pública, defensa, educación y salud",1093.519052933026,0.13336185
ARG,1966,Servicios,RSTU,Otros servicios,638.2100905294299,0.077833921
ARG,1967,Bienes,A,Agro y pesca,1573.94036905326,0.18970652
ARG,1967,Bienes,B,Petróleo y minería,28.38327645504701,0.0034210272
ARG,1967,Bienes,C,Industria,1931.789488422733,0.23283796
ARG,1967,Bienes,DE,"Electricidad, gas y agua",226.866165911145,0.027344106
ARG,1967,Bienes,F,Construcción,478.8974484319457,0.057721354
ARG,1967,Servicios,GI,"Comercio, hoteles y restaurantes",1213.223665590556,0.14622946
ARG,1967,Servicios,H,Transporte,646.7090148750387,0.077947631
ARG,1967,Servicios,JMN,Servicios empresariales,336.5668271024292,0.040566292
ARG,1967,Servicios,K,Finanzas,47.72102388654302,0.0057517993
ARG,1967,Servicios,L,Servicios inmobiliarios,35.35302902367142,0.004261089
ARG,1967,Servicios,OPQ,"Administración pública, defensa, educación y salud",1129.225390654174,0.13610516
ARG,1967,Servicios,RSTU,Otros servicios,648.0358750942892,0.078107551
ARG,1968,Bienes,A,Agro y pesca,1455.747225109045,0.17327341
ARG,1968,Bienes,B,Petróleo y minería,29.35965212964708,0.0034945949
ARG,1968,Bienes,C,Industria,1957.09952097316,0.23294793
ARG,1968,Bienes,DE,"Electricidad, gas y agua",228.4610560170378,0.027193062
ARG,1968,Bienes,F,Construcción,549.3272571693038,0.065384842
ARG,1968,Servicios,GI,"Comercio, hoteles y restaurantes",1276.620282879229,0.15195245
ARG,1968,Servicios,H,Transporte,654.7753278020937,0.077936023
ARG,1968,Servicios,JMN,Servicios empresariales,347.6397043208349,0.041378554
ARG,1968,Servicios,K,Finanzas,49.29102127095988,0.0058669685
ARG,1968,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0043900912
ARG,1968,Servicios,OPQ,"Administración pública, defensa, educación y salud",1168.377691714903,0.13906863
ARG,1968,Servicios,RSTU,Otros servicios,647.8643440478832,0.077113427
ARG,1969,Bienes,A,Agro y pesca,1436.490773505694,0.16934012
ARG,1969,Bienes,B,Petróleo y minería,26.15403244592835,0.0030831574
ARG,1969,Bienes,C,Industria,1999.894227005104,0.23575671
ARG,1969,Bienes,DE,"Electricidad, gas y agua",206.1894640220396,0.02430656
ARG,1969,Bienes,F,Construcción,621.7180279904501,0.073290974
ARG,1969,Servicios,GI,"Comercio, hoteles y restaurantes",1351.328871110288,0.15930085
ARG,1969,Servicios,H,Transporte,675.7543773792013,0.079661027
ARG,1969,Servicios,JMN,Servicios empresariales,333.2465467946781,0.039284632
ARG,1969,Servicios,K,Finanzas,47.25024910092224,0.0055700764
ARG,1969,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0043479507
ARG,1969,Servicios,OPQ,"Administración pública, defensa, educación y salud",1122.585851813561,0.13233557
ARG,1969,Servicios,RSTU,Otros servicios,625.3770773315165,0.073722318
ARG,1970,Bienes,A,Agro y pesca,1428.907449698795,0.16658975
ARG,1970,Bienes,B,Petróleo y minería,23.55880832397057,0.002746613
ARG,1970,Bienes,C,Industria,1964.498119771009,0.2290318
ARG,1970,Bienes,DE,"Electricidad, gas y agua",188.1688063499527,0.021937735
ARG,1970,Bienes,F,Construcción,691.7484404994094,0.080647767
ARG,1970,Servicios,GI,"Comercio, hoteles y restaurantes",1381.107375536725,0.16101696
ARG,1970,Servicios,H,Transporte,698.148007222356,0.081393868
ARG,1970,Servicios,JMN,Servicios empresariales,323.019567434596,0.037659366
ARG,1970,Servicios,K,Finanzas,45.80018959704508,0.0053396332
ARG,1970,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0043000327
ARG,1970,Servicios,OPQ,"Administración pública, defensa, educación y salud",1151.234668244125,0.13421716
ARG,1970,Servicios,RSTU,Otros servicios,644.3291826789354,0.075119376
ARG,1971,Bienes,A,Agro y pesca,1403.597015202903,0.16213846
ARG,1971,Bienes,B,Petróleo y minería,23.78879538568318,0.0027479958
ARG,1971,Bienes,C,Industria,1961.142816756957,0.22654414
ARG,1971,Bienes,DE,"Electricidad, gas y agua",188.2650304574669,0.021747697
ARG,1971,Bienes,F,Construcción,712.6476895175363,0.082322486
ARG,1971,Servicios,GI,"Comercio, hoteles y restaurantes",1408.629579391365,0.1627198
ARG,1971,Servicios,H,Transporte,678.0841370612853,0.078329831
ARG,1971,Servicios,JMN,Servicios empresariales,318.1653935874567,0.036753319
ARG,1971,Servicios,K,Finanzas,45.11192763105439,0.005211167
ARG,1971,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0042606043
ARG,1971,Servicios,OPQ,"Administración pública, defensa, educación y salud",1205.669322898628,0.13927457
ARG,1971,Servicios,RSTU,Otros servicios,674.79546163181,0.077949934
ARG,1972,Bienes,A,Agro y pesca,1381.437485342271,0.15800214
ARG,1972,Bienes,B,Petróleo y minería,23.99638136474985,0.0027445899
ARG,1972,Bienes,C,Industria,1963.318506553992,0.22455487
ARG,1972,Bienes,DE,"Electricidad, gas y agua",188.1680371788727,0.021521749
ARG,1972,Bienes,F,Construcción,725.0016853662855,0.082922183
ARG,1972,Servicios,GI,"Comercio, hoteles y restaurantes",1424.63277937801,0.1629426
ARG,1972,Servicios,H,Transporte,657.9211163973488,0.075249836
ARG,1972,Servicios,JMN,Servicios empresariales,334.1652851611737,0.038220208
ARG,1972,Servicios,K,Finanzas,47.38051486689352,0.0054191537
ARG,1972,Servicios,L,Servicios inmobiliarios,36.88311446212622,0.0042185122
ARG,1972,Servicios,OPQ,"Administración pública, defensa, educación y salud",1256.825749858197,0.14374964
ARG,1972,Servicios,RSTU,Otros servicios,703.4269645571928,0.080454573
ARG,1973,Bienes,A,Agro y pesca,1359.335463034736,0.15392414
ARG,1973,Bienes,B,Petróleo y minería,24.22139912027528,0.0027427063
ARG,1973,Bienes,C,Industria,1956.261736212858,0.22151698
ARG,1973,Bienes,DE,"Electricidad, gas y agua",188.192456902543,0.021309944
ARG,1973,Bienes,F,Construcción,739.5094063109015,0.08373823
ARG,1973,Servicios,GI,"Comercio, hoteles y restaurantes",1441.470800843364,0.16322471
ARG,1973,Servicios,H,Transporte,638.7696204447917,0.072330974
ARG,1973,Servicios,JMN,Servicios empresariales,344.9920605799433,0.039065123
ARG,1973,Servicios,K,Finanzas,48.91561805225915,0.0055389521
ARG,1973,Servicios,L,Servicios inmobiliarios,38.52236378967745,0.0043620737
ARG,1973,Servicios,OPQ,"Administración pública, defensa, educación y salud",1315.017073160617,0.14890575
ARG,1973,Servicios,RSTU,Otros servicios,735.9957959316345,0.083340369
ARG,1974,Bienes,A,Agro y pesca,1339.980316743577,0.1462696
ARG,1974,Bienes,B,Petróleo y minería,25.26049597581241,0.0027573858
ARG,1974,Bienes,C,Industria,2018.374092354914,0.22032173
ARG,1974,Bienes,DE,"Electricidad, gas y agua",194.4678323086438,0.021227725
ARG,1974,Bienes,F,Construcción,793.889193174343,0.086659379
ARG,1974,Servicios,GI,"Comercio, hoteles y restaurantes",1505.556500448519,0.16434358
ARG,1974,Servicios,H,Transporte,640.7725004635511,0.069945462
ARG,1974,Servicios,JMN,Servicios empresariales,370.0194508448615,0.040390592
ARG,1974,Servicios,K,Finanzas,52.46419323102006,0.0057268878
ARG,1974,Servicios,L,Servicios inmobiliarios,43.62925631297949,0.0047624838
ARG,1974,Servicios,OPQ,"Administración pública, defensa, educación y salud",1395.548598374444,0.15233533
ARG,1974,Servicios,RSTU,Otros servicios,781.0681111182981,0.085259855
ARG,1975,Bienes,A,Agro y pesca,1385.265881148695,0.14959386
ARG,1975,Bienes,B,Petróleo y minería,26.06013911545952,0.0028142156
ARG,1975,Bienes,C,Industria,1936.882681635625,0.20916256
ARG,1975,Bienes,DE,"Electricidad, gas y agua",198.7858746473112,0.021466743
ARG,1975,Bienes,F,Construcción,692.4936161156533,0.074781887
ARG,1975,Servicios,GI,"Comercio, hoteles y restaurantes",1465.23438417859,0.1582296
ARG,1975,Servicios,H,Transporte,635.8514518276446,0.068665139
ARG,1975,Servicios,JMN,Servicios empresariales,490.5254431554733,0.052971486
ARG,1975,Servicios,K,Finanzas,69.55045626839345,0.0075107035
ARG,1975,Servicios,L,Servicios inmobiliarios,39.97246931976014,0.0043165982
ARG,1975,Servicios,OPQ,"Administración pública, defensa, educación y salud",1487.194859835706,0.16060109
ARG,1975,Servicios,RSTU,Otros servicios,832.3611813947335,0.089886084
ARG,1976,Bienes,A,Agro y pesca,1295.422026682536,0.14030571
ARG,1976,Bienes,B,Petróleo y minería,25.3292493841213,0.0027433825
ARG,1976,Bienes,C,Industria,1934.928287369153,0.20956992
ARG,1976,Bienes,DE,"Electricidad, gas y agua",191.4405712521994,0.020734712
ARG,1976,Bienes,F,Construcción,825.221656348898,0.089378834
ARG,1976,Servicios,GI,"Comercio, hoteles y restaurantes",1533.742527228506,0.16611794
ARG,1976,Servicios,H,Transporte,594.4539389615505,0.064384639
ARG,1976,Servicios,JMN,Servicios empresariales,419.640160567099,0.045450754
ARG,1976,Servicios,K,Finanzas,59.49979770311933,0.0064443564
ARG,1976,Servicios,L,Servicios inmobiliarios,38.27017229170802,0.0041449992
ARG,1976,Servicios,OPQ,"Administración pública, defensa, educación y salud",1484.21320174942,0.16075346
ARG,1976,Servicios,RSTU,Otros servicios,830.6923910336035,0.089971364
ARG,1977,Bienes,A,Agro y pesca,1240.537542880016,0.13119039
ARG,1977,Bienes,B,Petróleo y minería,25.91694962595196,0.0027407913
ARG,1977,Bienes,C,Industria,1988.70830343234,0.21031158
ARG,1977,Bienes,DE,"Electricidad, gas y agua",194.0878927869269,0.020525347
ARG,1977,Bienes,F,Construcción,863.9396830320811,0.091364086
ARG,1977,Servicios,GI,"Comercio, hoteles y restaurantes",1627.145200828507,0.17207524
ARG,1977,Servicios,H,Transporte,585.0550290494658,0.061871238
